week,country,quantity,revenue
2009-12-06,Belgium,143,439.09999999999997
2009-12-13,Belgium,10,8.5
2009-12-20,Belgium,0,0.0
2009-12-27,Belgium,0,0.0
2010-01-03,Belgium,0,0.0
2010-01-10,Belgium,200,404.54999999999995
2010-01-17,Belgium,482,1120.2700000000007
2010-01-24,Belgium,0,0.0
2010-01-31,Belgium,45,109.19999999999999
2010-02-07,Belgium,87,191.7
2010-02-14,Belgium,0,0.0
2010-02-21,Belgium,617,3017.3
2010-02-28,Belgium,0,0.0
2010-03-07,Belgium,487,904.0199999999999
2010-03-14,Belgium,0,0.0
2010-03-21,Belgium,0,0.0
2010-03-28,Belgium,0,0.0
2010-04-04,Belgium,131,245.75999999999996
2010-04-11,Belgium,0,0.0
2010-04-18,Belgium,902,1439.0899999999997
2010-04-25,Belgium,0,0.0
2010-05-02,Belgium,412,885.5400000000002
2010-05-09,Belgium,38,98.15
2010-05-16,Belgium,0,0.0
2010-05-23,Belgium,0,0.0
2010-05-30,Belgium,0,0.0
2010-06-06,Belgium,372,489.26
2010-06-13,Belgium,0,0.0
2010-06-20,Belgium,49,346.25
2010-06-27,Belgium,163,367.48
2010-07-04,Belgium,1004,2597.3500000000013
2010-07-11,Belgium,622,553.3700000000001
2010-07-18,Belgium,0,0.0
2010-07-25,Belgium,671,1166.76
2010-08-01,Belgium,100,194.10000000000002
2010-08-08,Belgium,127,251.38000000000005
2010-08-15,Belgium,0,0.0
2010-08-22,Belgium,221,325.3999999999999
2010-08-29,Belgium,0,0.0
2010-09-05,Belgium,667,1250.8400000000001
2010-09-12,Belgium,170,326.65
2010-09-19,Belgium,320,465.46
2010-09-26,Belgium,100,284.8
2010-10-03,Belgium,0,0.0
2010-10-10,Belgium,35,65.3
2010-10-17,Belgium,328,740.5000000000001
2010-10-24,Belgium,0,0.0
2010-10-31,Belgium,301,669.92
2010-11-07,Belgium,0,0.0
2010-11-14,Belgium,757,1133.8799999999997
2010-11-21,Belgium,1374,2180.6999999999994
2010-11-28,Belgium,612,1938.3999999999999
2010-12-05,Belgium,1056,692.1999999999999
2010-12-12,Belgium,0,0.0
2010-12-19,Belgium,285,625.16
2010-12-26,Belgium,942,838.6500000000003
2011-01-02,Belgium,0,0.0
2011-01-09,Belgium,0,0.0
2011-01-16,Belgium,590,651.1599999999999
2011-01-23,Belgium,94,225.6
2011-01-30,Belgium,108,323.43999999999994
2011-02-06,Belgium,21,213.9
2011-02-13,Belgium,273,315.81
2011-02-20,Belgium,508,1119.2000000000003
2011-02-27,Belgium,285,382.21
2011-03-06,Belgium,312,1119.0700000000002
2011-03-13,Belgium,0,0.0
2011-03-20,Belgium,306,583.3699999999999
2011-03-27,Belgium,1180,1799.4899999999998
2011-04-03,Belgium,0,0.0
2011-04-10,Belgium,438,731.8499999999999
2011-04-17,Belgium,266,492.7300000000001
2011-04-24,Belgium,204,269.65999999999997
2011-05-01,Belgium,275,495.2400000000001
2011-05-08,Belgium,254,531.05
2011-05-15,Belgium,577,662.7199999999999
2011-05-22,Belgium,168,297.38
2011-05-29,Belgium,830,1241.25
2011-06-05,Belgium,581,1381.04
2011-06-12,Belgium,458,837.0800000000003
2011-06-19,Belgium,598,992.0199999999999
2011-06-26,Belgium,505,900.7799999999997
2011-07-03,Belgium,103,163.9
2011-07-10,Belgium,666,1022.82
2011-07-17,Belgium,13,45.599999999999994
2011-07-24,Belgium,0,0.0
2011-07-31,Belgium,1000,1407.1499999999999
2011-08-07,Belgium,457,1133.5099999999998
2011-08-14,Belgium,515,678.8699999999999
2011-08-21,Belgium,590,789.8699999999999
2011-08-28,Belgium,358,752.79
2011-09-04,Belgium,459,841.2599999999999
2011-09-11,Belgium,372,1087.6999999999998
2011-09-18,Belgium,0,0.0
2011-09-25,Belgium,1020,1648.0499999999995
2011-10-02,Belgium,267,829.9900000000001
2011-10-09,Belgium,118,346.67999999999995
2011-10-16,Belgium,1877,2630.9300000000007
2011-10-23,Belgium,378,659.75
2011-10-30,Belgium,649,1585.1700000000003
2011-11-06,Belgium,917,2135.88
2011-11-13,Belgium,611,1261.0500000000002
2011-11-20,Belgium,974,2798.5299999999997
2011-11-27,Belgium,185,301.25
2011-12-04,Belgium,523,592.22
2011-12-11,Belgium,599,1107.41
2009-12-06,EIRE,940,2369.6100000000006
2009-12-13,EIRE,1005,2746.919999999999
2009-12-20,EIRE,2158,5941.25
2009-12-27,EIRE,4512,7112.68
2010-01-03,EIRE,0,0.0
2010-01-10,EIRE,26352,49191.91999999997
2010-01-17,EIRE,151,2189.45
2010-01-24,EIRE,2922,9565.210000000001
2010-01-31,EIRE,1382,4084.829999999999
2010-02-07,EIRE,6053,9455.069999999996
2010-02-14,EIRE,1046,1612.0600000000004
2010-02-21,EIRE,1937,4524.029999999997
2010-02-28,EIRE,2213,4615.300000000001
2010-03-07,EIRE,9782,11452.290000000017
2010-03-14,EIRE,665,1469.5100000000004
2010-03-21,EIRE,1978,3799.109999999999
2010-03-28,EIRE,1765,4838.179999999998
2010-04-04,EIRE,607,1430.3700000000006
2010-04-11,EIRE,204,1015.4799999999998
2010-04-18,EIRE,6964,10643.160000000007
2010-04-25,EIRE,3454,6027.959999999997
2010-05-02,EIRE,1971,4079.7499999999986
2010-05-09,EIRE,5001,9517.559999999994
2010-05-16,EIRE,1752,3154.680000000001
2010-05-23,EIRE,1005,2737.7200000000003
2010-05-30,EIRE,1014,1939.6799999999998
2010-06-06,EIRE,853,2019.810000000001
2010-06-13,EIRE,858,2164.6800000000003
2010-06-20,EIRE,8705,13553.810000000014
2010-06-27,EIRE,1363,3833.8099999999986
2010-07-04,EIRE,1072,2276.56
2010-07-11,EIRE,10184,23903.27000000001
2010-07-18,EIRE,2156,4869.359999999999
2010-07-25,EIRE,289,794.2
2010-08-01,EIRE,526,1506.07
2010-08-08,EIRE,1162,2263.65
2010-08-15,EIRE,599,1253.5
2010-08-22,EIRE,11163,16755.160000000018
2010-08-29,EIRE,998,1499.3800000000003
2010-09-05,EIRE,1463,3034.1
2010-09-12,EIRE,2068,3324.789999999999
2010-09-19,EIRE,5568,9068.150000000005
2010-09-26,EIRE,3093,5649.699999999999
2010-10-03,EIRE,13684,25574.7700000001
2010-10-10,EIRE,1212,5015.799999999998
2010-10-17,EIRE,2681,5219.939999999999
2010-10-24,EIRE,2129,7340.939999999998
2010-10-31,EIRE,5820,17198.46999999999
2010-11-07,EIRE,2957,6614.169999999999
2010-11-14,EIRE,2572,5314.879999999999
2010-11-21,EIRE,7045,13519.920000000013
2010-11-28,EIRE,849,2218.76
2010-12-05,EIRE,5249,5261.459999999997
2010-12-12,EIRE,2181,5412.149999999996
2010-12-19,EIRE,887,1871.9
2010-12-26,EIRE,462,1052.1499999999999
2011-01-02,EIRE,0,0.0
2011-01-09,EIRE,85,258.0
2011-01-16,EIRE,6198,16774.719999999998
2011-01-23,EIRE,1619,3222.4200000000005
2011-01-30,EIRE,892,1649.0499999999997
2011-02-06,EIRE,808,1815.4300000000005
2011-02-13,EIRE,0,0.0
2011-02-20,EIRE,3489,6830.89
2011-02-27,EIRE,668,1480.1999999999998
2011-03-06,EIRE,1526,3726.64
2011-03-13,EIRE,3418,9536.36
2011-03-20,EIRE,2865,6538.139999999997
2011-03-27,EIRE,647,1165.8200000000004
2011-04-03,EIRE,1503,2114.5900000000006
2011-04-10,EIRE,2284,3987.519999999998
2011-04-17,EIRE,741,1445.2700000000004
2011-04-24,EIRE,234,367.61999999999995
2011-05-01,EIRE,163,362.9
2011-05-08,EIRE,2865,6262.780000000002
2011-05-15,EIRE,139,603.7799999999999
2011-05-22,EIRE,3533,7613.839999999999
2011-05-29,EIRE,714,1501.7900000000002
2011-06-05,EIRE,0,0.0
2011-06-12,EIRE,3685,5548.019999999999
2011-06-19,EIRE,4161,7247.189999999996
2011-06-26,EIRE,1446,2539.210000000002
2011-07-03,EIRE,3688,6295.749999999999
2011-07-10,EIRE,21,205.60000000000002
2011-07-17,EIRE,866,1802.0700000000004
2011-07-24,EIRE,9088,15723.389999999987
2011-07-31,EIRE,10484,21379.910000000003
2011-08-07,EIRE,3014,5917.829999999991
2011-08-14,EIRE,3466,5921.039999999996
2011-08-21,EIRE,2001,3626.3500000000004
2011-08-28,EIRE,850,1502.16
2011-09-04,EIRE,3619,5258.73
2011-09-11,EIRE,8653,16138.340000000007
2011-09-18,EIRE,1045,1474.64
2011-09-25,EIRE,3984,7585.41
2011-10-02,EIRE,4835,10538.369999999999
2011-10-09,EIRE,677,1325.4400000000007
2011-10-16,EIRE,4618,7396.469999999996
2011-10-23,EIRE,9811,13851.41999999999
2011-10-30,EIRE,406,1147.68
2011-11-06,EIRE,1286,2643.9599999999987
2011-11-13,EIRE,5241,8847.099999999997
2011-11-20,EIRE,5827,10641.820000000002
2011-11-27,EIRE,2631,4463.969999999999
2011-12-04,EIRE,2455,4923.960000000001
2011-12-11,EIRE,3023,5528.429999999995
2009-12-06,France,1629,3319.1599999999985
2009-12-13,France,1238,2088.72
2009-12-20,France,763,975.0599999999995
2009-12-27,France,58,138.75
2010-01-03,France,0,0.0
2010-01-10,France,3595,5021.120000000004
2010-01-17,France,344,1208.8
2010-01-24,France,645,1325.2799999999995
2010-01-31,France,729,910.4300000000004
2010-02-07,France,879,1752.8500000000004
2010-02-14,France,3273,5308.5199999999995
2010-02-21,France,0,0.0
2010-02-28,France,844,1962.7900000000002
2010-03-07,France,1769,3678.2299999999996
2010-03-14,France,641,1455.7000000000003
2010-03-21,France,1274,2337.83
2010-03-28,France,869,1185.8300000000002
2010-04-04,France,404,713.9999999999999
2010-04-11,France,1236,2550.1000000000004
2010-04-18,France,698,1325.5399999999997
2010-04-25,France,632,1323.2099999999998
2010-05-02,France,1015,1492.3300000000004
2010-05-09,France,6072,9320.909999999996
2010-05-16,France,1936,2937.430000000001
2010-05-23,France,161,300.6
2010-05-30,France,772,1399.2099999999998
2010-06-06,France,1322,2156.960000000001
2010-06-13,France,986,1631.08
2010-06-20,France,1696,2415.799999999998
2010-06-27,France,644,1181.6599999999996
2010-07-04,France,1219,2128.8399999999997
2010-07-11,France,1061,1906.1200000000003
2010-07-18,France,614,1138.9899999999996
2010-07-25,France,1220,1746.44
2010-08-01,France,988,6274.800000000002
2010-08-08,France,98,220.75
2010-08-15,France,87829,13009.809999999998
2010-08-22,France,0,0.0
2010-08-29,France,1836,3088.7400000000002
2010-09-05,France,1906,4839.9400000000005
2010-09-12,France,2419,4687.12
2010-09-19,France,649,1064.5900000000001
2010-09-26,France,1748,3498.109999999999
2010-10-03,France,1127,1680.5100000000004
2010-10-10,France,1196,1687.4200000000003
2010-10-17,France,6130,9476.239999999994
2010-10-24,France,1487,2537.87
2010-10-31,France,372,522.3199999999997
2010-11-07,France,875,1195.3700000000003
2010-11-14,France,1618,3387.189999999999
2010-11-21,France,5011,8427.880000000006
2010-11-28,France,2809,4647.350000000004
2010-12-05,France,3275,6957.0199999999995
2010-12-12,France,4198,8036.419999999992
2010-12-19,France,535,551.12
2010-12-26,France,847,1702.8700000000003
2011-01-02,France,0,0.0
2011-01-09,France,1852,3369.289999999999
2011-01-16,France,3377,5956.759999999999
2011-01-23,France,1488,3516.0699999999997
2011-01-30,France,660,1306.0300000000007
2011-02-06,France,3007,5980.94
2011-02-13,France,971,978.4400000000002
2011-02-20,France,1759,2399.860000000001
2011-02-27,France,767,1297.1799999999996
2011-03-06,France,1705,3488.1800000000007
2011-03-13,France,510,1056.1400000000003
2011-03-20,France,1087,1623.7600000000004
2011-03-27,France,1849,3143.09
2011-04-03,France,4525,7120.639999999998
2011-04-10,France,538,2222.0499999999993
2011-04-17,France,689,1299.4199999999996
2011-04-24,France,501,1247.7500000000002
2011-05-01,France,231,369.64
2011-05-08,France,1925,3151.770000000001
2011-05-15,France,3302,5511.169999999999
2011-05-22,France,2429,5363.390000000002
2011-05-29,France,1929,3129.709999999998
2011-06-05,France,2112,3901.35
2011-06-12,France,3126,3840.300000000001
2011-06-19,France,2631,5981.5999999999985
2011-06-26,France,1684,2479.040000000001
2011-07-03,France,592,787.38
2011-07-10,France,1839,3386.5799999999995
2011-07-17,France,1620,2900.49
2011-07-24,France,1190,2378.610000000001
2011-07-31,France,651,882.6499999999995
2011-08-07,France,1518,2629.350000000001
2011-08-14,France,380,707.8799999999999
2011-08-21,France,2202,3647.000000000003
2011-08-28,France,2714,4676.430000000001
2011-09-04,France,2080,3984.880000000001
2011-09-11,France,3990,7533.43
2011-09-18,France,1742,3137.7999999999993
2011-09-25,France,3938,6742.699999999999
2011-10-02,France,2396,4179.529999999999
2011-10-09,France,2071,3607.259999999998
2011-10-16,France,4036,6911.900000000004
2011-10-23,France,1263,3849.8599999999997
2011-10-30,France,6021,18631.109999999997
2011-11-06,France,3115,5089.459999999991
2011-11-13,France,4408,6934.659999999999
2011-11-20,France,4521,9226.330000000007
2011-11-27,France,2638,5191.91
2011-12-04,France,4953,8922.580000000002
2011-12-11,France,1952,3752.389999999998
2009-12-06,Germany,651,1213.07
2009-12-13,Germany,1213,3605.2700000000004
2009-12-20,Germany,2574,4477.079999999997
2009-12-27,Germany,390,801.4300000000002
2010-01-03,Germany,0,0.0
2010-01-10,Germany,104,205.75
2010-01-17,Germany,2190,4976.4299999999985
2010-01-24,Germany,1609,2689.159999999999
2010-01-31,Germany,2418,4690.770000000001
2010-02-07,Germany,876,1795.2599999999993
2010-02-14,Germany,2850,4720.929999999998
2010-02-21,Germany,428,972.5500000000001
2010-02-28,Germany,635,1635.5100000000004
2010-03-07,Germany,2714,4817.139999999999
2010-03-14,Germany,829,1735.82
2010-03-21,Germany,2685,5363.190000000002
2010-03-28,Germany,2655,4781.929999999998
2010-04-04,Germany,1375,2443.709999999999
2010-04-11,Germany,4189,6764.65
2010-04-18,Germany,2299,4387.570999999999
2010-04-25,Germany,3688,7592.310000000004
2010-05-02,Germany,1096,2726.8400000000006
2010-05-09,Germany,1116,2568.789999999999
2010-05-16,Germany,689,1652.3600000000001
2010-05-23,Germany,1441,3421.979999999998
2010-05-30,Germany,911,1233.3799999999997
2010-06-06,Germany,1254,2003.4299999999994
2010-06-13,Germany,2486,4792.8899999999985
2010-06-20,Germany,2721,4368.990000000002
2010-06-27,Germany,1247,1544.8700000000003
2010-07-04,Germany,4529,8636.429999999991
2010-07-11,Germany,3303,5056.219999999998
2010-07-18,Germany,4090,5079.66
2010-07-25,Germany,1783,2649.28
2010-08-01,Germany,1013,1821.1499999999999
2010-08-08,Germany,1709,3665.090000000001
2010-08-15,Germany,170,461.66999999999996
2010-08-22,Germany,2008,3179.229999999999
2010-08-29,Germany,1145,2276.33
2010-09-05,Germany,1287,2058.8599999999997
2010-09-12,Germany,1764,3291.2900000000004
2010-09-19,Germany,3254,6350.8600000000015
2010-09-26,Germany,871,1678.12
2010-10-03,Germany,2572,5446.8099999999995
2010-10-10,Germany,3401,6403.129999999997
2010-10-17,Germany,1873,4043.41
2010-10-24,Germany,3276,5099.049999999997
2010-10-31,Germany,3060,5291.079999999998
2010-11-07,Germany,7280,11956.810000000016
2010-11-14,Germany,1898,3762.4399999999996
2010-11-21,Germany,2360,6132.509999999999
2010-11-28,Germany,2746,5636.699999999998
2010-12-05,Germany,5073,9650.149999999992
2010-12-12,Germany,2654,6830.469999999997
2010-12-19,Germany,1997,5173.14
2010-12-26,Germany,1169,2023.5100000000011
2011-01-02,Germany,0,0.0
2011-01-09,Germany,2658,3976.1299999999974
2011-01-16,Germany,1167,2364.7099999999996
2011-01-23,Germany,733,1512.4200000000005
2011-01-30,Germany,3450,6725.370000000001
2011-02-06,Germany,1635,4433.999999999999
2011-02-13,Germany,1027,2876.7999999999993
2011-02-20,Germany,947,1495.4700000000005
2011-02-27,Germany,1705,3106.9900000000007
2011-03-06,Germany,920,1487.7799999999995
2011-03-13,Germany,1413,2689.6099999999974
2011-03-20,Germany,2179,4418.759999999999
2011-03-27,Germany,2110,3971.320000000002
2011-04-03,Germany,1232,2173.9
2011-04-10,Germany,1473,2761.999999999999
2011-04-17,Germany,1672,4070.6299999999983
2011-04-24,Germany,1951,3637.5499999999993
2011-05-01,Germany,1200,2591.0099999999998
2011-05-08,Germany,799,1509.2000000000003
2011-05-15,Germany,7046,14885.609999999999
2011-05-22,Germany,2768,4545.209999999997
2011-05-29,Germany,1705,3641.89
2011-06-05,Germany,2214,3810.0899999999992
2011-06-12,Germany,849,2198.54
2011-06-19,Germany,1780,3240.9900000000007
2011-06-26,Germany,1862,2900.3200000000006
2011-07-03,Germany,858,1270.52
2011-07-10,Germany,2013,3644.650000000001
2011-07-17,Germany,2267,4086.2900000000027
2011-07-24,Germany,3609,6681.620000000004
2011-07-31,Germany,1146,1957.0199999999995
2011-08-07,Germany,2769,4920.420000000003
2011-08-14,Germany,308,519.6300000000001
2011-08-21,Germany,1368,2448.94
2011-08-28,Germany,3420,5491.250000000002
2011-09-04,Germany,3698,8696.92
2011-09-11,Germany,2394,3909.710000000003
2011-09-18,Germany,961,1808.45
2011-09-25,Germany,4580,6637.739999999997
2011-10-02,Germany,1299,2878.9300000000007
2011-10-09,Germany,6679,11000.299999999992
2011-10-16,Germany,2904,7149.369999999994
2011-10-23,Germany,6427,9911.850000000006
2011-10-30,Germany,1235,2791.37
2011-11-06,Germany,1863,2958.780000000002
2011-11-13,Germany,2127,5368.670000000001
2011-11-20,Germany,4940,10179.24
2011-11-27,Germany,3434,6855.719999999999
2011-12-04,Germany,2345,5390.88
2011-12-11,Germany,3246,6041.4299999999985
2009-12-06,Spain,504,435.88
2009-12-13,Spain,71,412.6
2009-12-20,Spain,576,1952.64
2009-12-27,Spain,2128,5149.0599999999995
2010-01-03,Spain,0,0.0
2010-01-10,Spain,308,760.2399999999999
2010-01-17,Spain,2,1410.99
2010-01-24,Spain,434,1120.46
2010-01-31,Spain,450,889.5499999999998
2010-02-07,Spain,271,509.04
2010-02-14,Spain,0,0.0
2010-02-21,Spain,0,0.0
2010-02-28,Spain,8,45.0
2010-03-07,Spain,209,438.79999999999995
2010-03-14,Spain,353,364.7899999999999
2010-03-21,Spain,0,0.0
2010-03-28,Spain,448,822.8400000000003
2010-04-04,Spain,33,54.09
2010-04-11,Spain,0,0.0
2010-04-18,Spain,490,833.9799999999998
2010-04-25,Spain,0,0.0
2010-05-02,Spain,0,0.0
2010-05-09,Spain,1098,2129.65
2010-05-16,Spain,400,724.9300000000001
2010-05-23,Spain,0,0.0
2010-05-30,Spain,0,0.0
2010-06-06,Spain,0,0.0
2010-06-13,Spain,504,1708.56
2010-06-20,Spain,380,623.64
2010-06-27,Spain,0,0.0
2010-07-04,Spain,0,0.0
2010-07-11,Spain,0,0.0
2010-07-18,Spain,0,0.0
2010-07-25,Spain,29,77.8
2010-08-01,Spain,777,1057.01
2010-08-08,Spain,5,125.0
2010-08-15,Spain,187,232.49
2010-08-22,Spain,110,148.42000000000002
2010-08-29,Spain,0,0.0
2010-09-05,Spain,373,794.0800000000002
2010-09-12,Spain,511,781.2200000000001
2010-09-19,Spain,1336,2051.6900000000005
2010-09-26,Spain,0,0.0
2010-10-03,Spain,1501,3583.579999999999
2010-10-10,Spain,134,211.3100000000001
2010-10-17,Spain,3211,6375.5199999999995
2010-10-24,Spain,2580,4855.629999999999
2010-10-31,Spain,0,0.0
2010-11-07,Spain,256,953.6
2010-11-14,Spain,2232,4098.959999999999
2010-11-21,Spain,23,180.1
2010-11-28,Spain,457,893.5500000000001
2010-12-05,Spain,800,1240.0
2010-12-12,Spain,134,349.44
2010-12-19,Spain,400,1049.0099999999998
2010-12-26,Spain,0,0.0
2011-01-02,Spain,0,0.0
2011-01-09,Spain,630,1138.6700000000005
2011-01-16,Spain,2126,6280.150000000001
2011-01-23,Spain,342,793.9700000000001
2011-01-30,Spain,747,1873.2999999999997
2011-02-06,Spain,364,906.2299999999998
2011-02-13,Spain,287,762.1099999999999
2011-02-20,Spain,219,446.15999999999997
2011-02-27,Spain,0,0.0
2011-03-06,Spain,397,471.79999999999995
2011-03-13,Spain,0,0.0
2011-03-20,Spain,405,1218.9500000000003
2011-03-27,Spain,1193,2854.9
2011-04-03,Spain,550,817.5
2011-04-10,Spain,0,0.0
2011-04-17,Spain,156,269.95
2011-04-24,Spain,530,1079.4
2011-05-01,Spain,267,436.29999999999995
2011-05-08,Spain,835,1902.71
2011-05-15,Spain,0,0.0
2011-05-22,Spain,0,0.0
2011-05-29,Spain,25,48.4
2011-06-05,Spain,715,1570.8899999999994
2011-06-12,Spain,618,1270.6499999999999
2011-06-19,Spain,764,1702.9600000000005
2011-06-26,Spain,49,95.19999999999999
2011-07-03,Spain,0,0.0
2011-07-10,Spain,1900,4840.209999999998
2011-07-17,Spain,166,312.89999999999986
2011-07-24,Spain,59,301.52
2011-07-31,Spain,1324,2170.290000000001
2011-08-07,Spain,185,867.4300000000001
2011-08-14,Spain,0,0.0
2011-08-21,Spain,243,445.25000000000006
2011-08-28,Spain,1117,1755.83
2011-09-04,Spain,55,278.40000000000003
2011-09-11,Spain,477,1552.34
2011-09-18,Spain,0,0.0
2011-09-25,Spain,1883,3346.3999999999987
2011-10-02,Spain,323,290.49999999999994
2011-10-09,Spain,227,422.79999999999995
2011-10-16,Spain,1006,3528.34
2011-10-23,Spain,1234,1658.6000000000013
2011-10-30,Spain,1885,3027.2000000000003
2011-11-06,Spain,463,1111.2700000000007
2011-11-13,Spain,696,1522.7000000000007
2011-11-20,Spain,985,2278.2900000000004
2011-11-27,Spain,1246,3595.9599999999996
2011-12-04,Spain,117,170.7400000000001
2011-12-11,Spain,274,316.20999999999964
2009-12-06,United Kingdom,128007,213000.3500000051
2009-12-13,United Kingdom,104690,195810.04000000257
2009-12-20,United Kingdom,111775,182396.74000000182
2009-12-27,United Kingdom,17359,22007.77000000001
2010-01-03,United Kingdom,0,0.0
2010-01-10,United Kingdom,65506,112318.84999999954
2010-01-17,United Kingdom,62030,111460.46999999881
2010-01-24,United Kingdom,49213,82065.33099999886
2010-01-31,United Kingdom,60243,110790.59099999933
2010-02-07,United Kingdom,52642,95340.5519999991
2010-02-14,United Kingdom,39974,66868.84999999971
2010-02-21,United Kingdom,67136,115261.84199999875
2010-02-28,United Kingdom,75331,133606.69199999946
2010-03-07,United Kingdom,81440,126888.3999999979
2010-03-14,United Kingdom,60499,98039.99999999905
2010-03-21,United Kingdom,79778,130498.51099999854
2010-03-28,United Kingdom,116148,146691.20999999964
2010-04-04,United Kingdom,60061,110073.56999999951
2010-04-11,United Kingdom,67603,106629.00999999925
2010-04-18,United Kingdom,59914,112262.4499999991
2010-04-25,United Kingdom,66353,117823.10999999946
2010-05-02,United Kingdom,90799,155148.40099999958
2010-05-09,United Kingdom,64056,104203.40999999904
2010-05-16,United Kingdom,90270,138020.80999999912
2010-05-23,United Kingdom,74503,120034.65999999833
2010-05-30,United Kingdom,93867,130320.32999999814
2010-06-06,United Kingdom,49198,79636.36999999861
2010-06-13,United Kingdom,112511,185933.0600000025
2010-06-20,United Kingdom,62050,100020.72999999876
2010-06-27,United Kingdom,52674,91351.11999999895
2010-07-04,United Kingdom,82069,130757.86999999838
2010-07-11,United Kingdom,55002,102841.03999999914
2010-07-18,United Kingdom,71639,128661.83999999838
2010-07-25,United Kingdom,70740,120441.7499999979
2010-08-01,United Kingdom,67984,136678.28999999867
2010-08-08,United Kingdom,69518,111608.95999999836
2010-08-15,United Kingdom,70747,105085.19999999851
2010-08-22,United Kingdom,81604,119956.15999999848
2010-08-29,United Kingdom,73914,124254.85999999855
2010-09-05,United Kingdom,65273,94258.81999999945
2010-09-12,United Kingdom,56084,93875.57999999859
2010-09-19,United Kingdom,81209,125885.60099999706
2010-09-26,United Kingdom,110451,180679.1400000015
2010-10-03,United Kingdom,206568,257301.30000000706
2010-10-10,United Kingdom,143776,217442.93000000232
2010-10-17,United Kingdom,131734,248979.16000000518
2010-10-24,United Kingdom,108834,195588.52000000354
2010-10-31,United Kingdom,91277,163622.79000000123
2010-11-07,United Kingdom,132839,219731.9900000057
2010-11-14,United Kingdom,139369,252428.93100000735
2010-11-21,United Kingdom,120882,207058.47100000558
2010-11-28,United Kingdom,123480,225995.1000000081
2010-12-05,United Kingdom,186157,346578.64000001247
2010-12-12,United Kingdom,154569,331660.7300000133
2010-12-19,United Kingdom,85823,147026.08000000022
2010-12-26,United Kingdom,19950,30514.830000000118
2011-01-02,United Kingdom,0,0.0
2011-01-09,United Kingdom,59279,97321.07999999852
2011-01-16,United Kingdom,54040,109421.11999999873
2011-01-23,United Kingdom,110187,142150.28000000044
2011-01-30,United Kingdom,45376,80538.15999999928
2011-02-06,United Kingdom,57916,89957.43999999929
2011-02-13,United Kingdom,40137,73519.9799999996
2011-02-20,United Kingdom,57996,93632.22999999908
2011-02-27,United Kingdom,59733,99031.26999999872
2011-03-06,United Kingdom,46866,81516.5399999993
2011-03-13,United Kingdom,53752,92633.38999999907
2011-03-20,United Kingdom,69696,113393.1099999988
2011-03-27,United Kingdom,63522,112232.64999999912
2011-04-03,United Kingdom,72359,108705.72999999896
2011-04-10,United Kingdom,52970,92460.65999999929
2011-04-17,United Kingdom,78584,122567.94099999877
2011-04-24,United Kingdom,63159,104069.23999999934
2011-05-01,United Kingdom,46086,67331.93000000007
2011-05-08,United Kingdom,64636,114728.46999999932
2011-05-15,United Kingdom,71720,132187.4899999996
2011-05-22,United Kingdom,85732,163319.97999999995
2011-05-29,United Kingdom,67666,121076.05999999959
2011-06-05,United Kingdom,44422,82246.13999999965
2011-06-12,United Kingdom,77850,169194.04999999897
2011-06-19,United Kingdom,68207,120797.67999999893
2011-06-26,United Kingdom,57102,90786.38999999946
2011-07-03,United Kingdom,51491,91812.14999999906
2011-07-10,United Kingdom,69403,114199.45999999941
2011-07-17,United Kingdom,61188,97244.70999999925
2011-07-24,United Kingdom,83752,134081.77999999947
2011-07-31,United Kingdom,80063,124542.86099999916
2011-08-07,United Kingdom,86573,133155.36999999903
2011-08-14,United Kingdom,60014,97651.83999999981
2011-08-21,United Kingdom,73938,125420.94999999936
2011-08-28,United Kingdom,77718,121444.73999999896
2011-09-04,United Kingdom,55980,89577.64999999951
2011-09-11,United Kingdom,84609,131164.23999999824
2011-09-18,United Kingdom,101828,187934.49999999852
2011-09-25,United Kingdom,128931,249563.050999999
2011-10-02,United Kingdom,104177,170904.20099999863
2011-10-09,United Kingdom,142323,253713.54000000117
2011-10-16,United Kingdom,90628,161438.53999999881
2011-10-23,United Kingdom,98872,179106.06999999928
2011-10-30,United Kingdom,123887,190034.20000000042
2011-11-06,United Kingdom,131325,226770.53000000084
2011-11-13,United Kingdom,135234,229378.01000000123
2011-11-20,United Kingdom,129454,221870.2899999994
2011-11-27,United Kingdom,133998,210741.76000000152
2011-12-04,United Kingdom,123041,220213.99000000142
2011-12-11,United Kingdom,204281,372946.26000000123
